id,full_name,email,signup_date,salary,department,age,is_active
0a247098-3f50-401d-a1c0-e25ddab09689,Matthew Castillo,willie78@gmail.com,2025-03-17,67627,HR,38,True
31f594b7-9afa-4468-91ff-49ea3d18d2d7,Elizabeth Aguilar,tim45@yahoo.com,2025-12-25,117511, Marketing ,70,True
c9d58490-61e2-410e-b587-05793398f3ff,Erika Finley,krystal41@gmail.com,2025-06-06,98558,HR,66,False
ffab9c6e-def6-4465-8fe3-42aaea13d6dd,Jesse Richards,jonathan42@yahoo.com,2024-12-27,43157,Engineering,56,True
e69e292d-1a5e-4f8b-ad1f-d87a68114713,Lisa Richards,taylor30@yahoo.com,2021-07-05,93233,Engineering,56,True
32a77489-51bc-4563-864c-c333ea215c95,ZACHARY BENNETT,justinjohnson@hotmail.com,08-Mar-2023,$43663, Marketing ,-5,False
fd31a930-c7c6-4fdd-bae8-cdeee284d3a2,Sarah Hansen,goodwindonna@yahoo.com,2025-09-28,85278,Engineering,53,False
bd5057df-eaaa-4945-9ee3-e34df64c08ed,Scott Hogan,denniskristen@hotmail.com,2026-01-20,55371,Engineering,56,False
1e3203a6-23d9-46ee-9f83-324ed61e3a9b,David Carpenter,woneal@yahoo.com,2025-08-10,,HR,69,True
e3ebc852-745d-4106-a36d-ea0699a5c21f,Daniel Jones,nancyhernandez@yahoo.com,2023-08-23,93280,Sales,65,False
050e6e5b-a015-4f98-a85d-f94657b9f598,Max Brown,julia33@gmail.com,2021-12-27,95890,Support,53,False
ad86fb45-8bb6-492e-91e8-598781e4cd99,Victor Sparks,richardjohnson@hotmail.com,2021-09-23,74944,Sales,70,True
8b92906d-2821-4cc2-a95e-5edb903364d6,james taylor,wjohnson@gmail.com,02/09/2025,$105557, HR ,-5,False
d63a5bd5-00e7-41c0-93f4-e6a91e618dc2,Ashley Hill,matthewsmith@gmail.com,2021-04-03,53445,HR,45,True
33c87dd9-22e0-474e-a67d-aa693aea382c,Jeremy Blackwell,jeffdonovan@gmail.com,2024-02-26,42806,Sales,34,False
90bf92a4-a794-40f2-a73c-c686aa9f4a49,Lauren Spencer,michael27@hotmail.com,2022-08-08,63031,Engineering,45,False
2d58c60f-8bf4-40fe-beac-c232cf80ee82,Heather Lee,melaniewatkins@yahoo.com,2021-12-30,149324,Marketing,57,False
864f0dd2-2429-446b-b129-9c669705fd14,Jennifer Franco,kparsons@gmail.com,2026-01-16,32859,Engineering,70,True
3639b035-0402-42d1-823c-e369c258c186,Diane Butler,austin65@hotmail.com,2023-04-26,82791,HR,69,True
8fefcdbe-d05c-4208-b49e-e7bdcb9de385,Jason Parker,zsnyder@gmail.com,2025-03-10,133705,Engineering,31,False
947100f6-90a3-4eb1-a72f-42e567369090,Alexandra Reid,khorton@gmail.com,2025-03-05,44780,Engineering,35,True
aaa9222a-0aba-458c-af66-3834bdc596ec,Joshua Cannon,amycook@yahoo.com,2021-03-27,134502,Sales,27,False
e4a317eb-e14c-488a-a7cf-7e27fc13a369,MR. MICHAEL STOUT MD,ywilliams@yahoo.com,17-Sep-2024,$144393, Marketing ,-5,True
a6854a58-8535-4fc2-adbe-755d5e8e466b,Amanda Booker,tmorgan@gmail.com,2023-02-02,84548,Marketing,51,False
a087cc5d-2e68-4a3f-a6f1-e8960a2afb48,mrs. karen watson,brookskatie@hotmail.com,06-Oct-2022,$141026, Engineering ,58,False
54a9b501-b707-4b44-8a73-0fd989e03659,Mark Bruce,angelastewart@yahoo.com,2024-04-11,77888,Marketing,65,True
0e2544b6-8afc-4e41-9573-ab765d5c618e,Jennifer Herrera,wtaylor@hotmail.com,2025-06-28,41925,HR,65,True
14d5909c-5c94-4a31-b88f-bf1060680129,james jackson,gwilliams@yahoo.com,18/11/2022,$33517, Engineering ,54,False
bca0a45c-5667-4c1a-803e-2f16172accc0,Dakota Beard,mccallkenneth@yahoo.com,2024-12-12,108326,Sales,28,False
f39086d1-ccef-4531-89a9-93bb82f8e2a1,Sean White,swansonchristopher@yahoo.com,2025-07-21,47331,Support,49,True
e2028bc4-40bf-4e50-83b0-91bfa69bcca9,Robert Garza,murraydebra@hotmail.com,2024-03-29,146719,Support,70,True
be2e4006-c42e-4e69-8a8d-d677b24b58f5,Mark Thompson DDS,mendezeric@hotmail.com,2022-11-03,102501,Engineering,61,False
a22f94e9-98cc-4bbd-b658-f0051ed16737,Allen Ryan,mistymendoza@gmail.com,2023-10-12,68407,Support,31,True
c7311319-89ae-4d82-906e-b57be40310db,Jeremy Hines,syoung@yahoo.com,2024-07-06,134303,Sales,33,True
3dae9358-653c-419c-affe-2063545a60d9,Andrew Navarro,melissajackson@gmail.com,2021-08-09,112280,Marketing,67,True
7aa7cc92-329a-4b70-a9f8-6d66e6897e79,Heather Proctor,stanleyrandy@yahoo.com,2023-04-06,106528,Sales,29,False
92290bbd-e321-4101-b840-a3cd54e170e6,Adrienne Rodriguez,kristin40@hotmail.com,2024-01-22,117107,Engineering,37,True
516537fe-c989-4b3e-bc6f-9d3cd6e29dc0,Jennifer Moon,johnsonrhonda@hotmail.com,2022-07-07,34654,HR,47,True
04e70f64-659a-4f33-82a8-31ea588ce112,MATTHEW GUTIERREZ,caldwelljeremy@hotmail.com,2024/09/10,$53740, Sales ,-5,False
d1befd3d-634e-4e28-9d1d-7b29ea52aa31,Mary Garcia,sarah23@gmail.com,2024-03-02,31975,Engineering,44,False
4a5add4b-8490-4913-98e9-670ae4f3dcb6,Lindsey Charles,hhall@gmail.com,2023-12-21,115218, HR ,63,True
da9ad4cd-cc13-4dc5-b320-2c0184430079,Katie Martinez,sarahsoto@gmail.com,2021-04-02,147197,Sales,42,True
81678e2e-aeb7-4059-a62a-b857d946c541,Jeffrey Arnold,kathryncrosby@yahoo.com,2023-01-12,92245,HR,25,True
0c109e22-4052-43f1-b2b0-99f8683f57d1,Shirley Simmons,smalltasha@yahoo.com,2021-12-05,67338,,22,True
408aa2ee-8bf8-4b1f-8b48-95418520ce4e,Scott Long,dshea@gmail.com,2021-04-19,105456,Marketing,34,False
04f843ec-878c-452c-8233-610c11e5ccb1,Frank White,elizabethnorton@yahoo.com,2023-10-30,,Sales,42,False
4061551f-7f7e-4499-8f57-dc3ede065396,Robert Riddle,leonarddelgado@yahoo.com,2025-03-02,,Support,39,True
badd80f5-1a16-4f16-b634-f041b18b42b7,Nicholas Hayes,,2025-11-14,100343,Engineering,30,True
df4c2011-9e57-4119-afc2-4b1ed23a2711,Daniel Torres,james06@gmail.com,2021-07-27,41682, Sales ,69,True
711a55ff-0344-4496-94eb-ae5e8e6f4b72,Sarah Reynolds,jbowman@hotmail.com,2021-08-08,60542,HR,43,True
1a3aeb0d-ee10-46fd-a961-caf766c6d17f,Johnathan Rangel,xallen@hotmail.com,2021-12-18,50335,Support,67,True
36177cfc-9042-46dc-a309-fd3f0686f8f3,Mr. David Oliver,,2024-12-15,143937,Engineering,29,False
fd54ffe4-a8d2-44f7-b1f3-0a3610ddc7af,Jill Newton,michelle28@yahoo.com,2025-06-08,55464,Sales,33,True
c890e82b-8490-40de-87f0-10a803f345bd,Keith Bailey,samuel97@hotmail.com,2023-11-13,31623,Marketing,61,True
5f1c8614-e206-4da3-810a-d4e3631ac627,Travis Richardson,carrie51@gmail.com,2022-02-27,64478,Sales,25,True
d177fb30-e3fc-4726-a9e7-23c568ed587a,Mark Rice,joyce95@gmail.com,2025-08-22,93405,Sales,22,False
99966979-9bd6-466d-8a48-a289cdb24c0d,Brett Evans,bennettrachel@gmail.com,2023-07-18,91821,Sales,57,False
47945a8c-0f33-49bd-9abb-1255517e8cc6,Sharon Evans,alicecook@yahoo.com,2024-03-15,146251,Support,55,False
9405f59c-09e4-492e-9659-6256ebea011c,nicole smith,vjones@hotmail.com,20/10/2023,$110921, Marketing ,-5,False
4fd25caf-a081-4599-8f6a-312d3e0d92f5,Patricia Calhoun,fscott@gmail.com,2023-07-26,30132,Support,33,True
6293bc74-3967-473a-8a54-4a3412bb63b5,Joshua Stewart,robertsmichelle@yahoo.com,2023-08-02,65137,Sales,51,True
1b97f9bd-aa43-4af0-b637-a405b4e5cf88,Jill Morgan,melanie18@yahoo.com,2022-08-10,106055,HR,29,True
ccf66946-acfd-4fa4-ab87-df16f7335456,Kevin Carter,millersamuel@hotmail.com,2023-11-21,91581,Support,41,False
88b41e26-7eb8-44e4-9d6a-301e6eabf60c,charles riley,seansmall@gmail.com,02-Aug-2022,82449, ,49,False
c3130649-2e1d-49e6-9f8a-d64f776a0668,Michelle Cross,tiffany41@yahoo.com,2024-12-31,44205,HR,40,True
4be4a6fc-9c4f-42ab-940d-30343823c790,Jacob Walker,alexis13@hotmail.com,2025-02-28,114167,Sales,67,True
b8efdadf-215b-48ca-9f45-0fcd616041df,Rodney Smith,ncunningham@hotmail.com,2025-07-12,81276,Marketing,25,False
0b807a89-7d6d-43a6-8cba-a31f6a4b2b4d,Lance Aguilar,alex10@gmail.com,2021-03-05,64257,HR,42,True
5ea4ab4d-46b7-414a-a48a-2c0c2297c19d,Sharon Brown,hernandeznicholas@hotmail.com,2023-10-06,67180,,62,True
b0652cc0-f140-4a41-836f-302cf104fc0b,Helen Gray,kbradley@yahoo.com,2022-04-19,90465,Sales,58,True
d38d2be1-9db1-48f0-94c9-d9bef26a1a33,Steve Banks,pittsjustin@gmail.com,2024-02-06,140443,HR,60,True
7bddaeff-9bb4-4720-bf2f-41a61b24c0f6,Mr. Ronald Hayes,yoderchristopher@hotmail.com,2024-04-07,42278,Sales,68,True
a3902e87-b2e3-4918-a9b7-bf29e6a16372,Andrew Hurley,fturner@gmail.com,2025-05-28,119653,Marketing,70,True
6d129ece-64f9-44e3-995e-138a7303d622,Holly Harmon,lauren43@gmail.com,2023-04-08,67745, ,35,True
10faefa5-e9f5-4e62-9470-727be559e184,Gregory Price,christina64@yahoo.com,2025-07-21,85792,Support,26,False
9b9eea0e-60dd-4d0a-8ac6-73b5037cde54,Joshua Williams,amber70@hotmail.com,2025-02-05,138531,Support,53,False
3d7fd572-fd67-42b1-9362-b2c967952c8d,ELIZABETH SPENCER,xoconnor@gmail.com,04-Nov-2021,$122231, HR ,46,False
046da1aa-899d-4d2b-9882-77f6facc46d4,Derek David,robert95@gmail.com,2023-03-10,79665,Engineering,19,True
5a588b3c-288d-440b-a13e-1028c6a37690,craig guzman,washingtonarthur@yahoo.com,2022/09/27,$143603, Marketing ,50,False
80d0ac76-8a85-47f8-89d3-69ed2e1cb03f,Jamie Ross,cassandrapeterson@gmail.com,2024-04-07,123754,Sales,59,True
9bac6f49-0e55-416b-8325-489e79b4cb90,Melanie Martin,hendersondavid@yahoo.com,2025-01-20,118099,Engineering,18,False
97c1e634-8ced-4caf-9e67-5a1199299760,Barry Simmons,elizabethbond@gmail.com,2021-07-26,136748,,58,True
d3c5ab64-0f9f-41d8-9beb-fb5bfc9be125,Cody Fry,sarah09@yahoo.com,2021-02-22,30620,HR,35,True
cdee1bbc-cf93-448e-bb1a-99a4caa92f8d,Maria Wright,esanford@hotmail.com,2022-03-16,102942,Support,30,False
0bce8d23-5606-49e9-b5a0-e0a5ba9c8b4d,Jonathan Hays,qmahoney@yahoo.com,2023-05-10,104918,Sales,35,True
25663721-413a-46df-aa27-77ff863cbf31,Nicholas Alvarez,klambert@gmail.com,2025-08-30,107851,Support,18,True
fa1d03b6-a4d0-486e-ae92-1010d0e57d92,Elijah West,ksexton@yahoo.com,2022-07-10,104024,Marketing,44,True
faa3a4ec-4d40-4303-b07a-1a317712981c,Tammy Rodriguez,johnsonrobert@hotmail.com,2021-07-31,75755,Sales,67,True
8fd8adeb-b8ae-4613-91b6-85f509283417,Billy Crane,bradleybrown@hotmail.com,2026-01-26,71862,Engineering,49,True
3c770b85-2cb8-4edd-a3ad-373190728e29,Cody Jacobs,luisscott@hotmail.com,2021-12-05,118614,Support,20,False
d10c0a86-9c2c-4ae5-97c2-fe1d83318e5a,Katie Crawford,asmith@yahoo.com,2025-09-03,41129,Sales,58,True
c4e89969-45ae-4f7b-a0e5-7ba76e835e08,Michelle Austin,melissaroberts@yahoo.com,2022-03-16,91134, Engineering ,35,True
1bec575a-5724-4b00-b929-3ff9b2771f65,Traci Lee,spalmer@yahoo.com,2022-02-27,141823, HR ,58,False
0110a601-c55a-4615-8f4c-66b9134fec2a,Anna Walker,xramirez@hotmail.com,2022-06-21,137669,Support,18,False
2cb9ec65-5a0a-4f75-9ddd-e6decd826681,Rachel Coffey,rebekahlee@gmail.com,2022-07-24,99859,Engineering,67,True
89d985c4-e432-439e-ac9c-f9e44d959e07,Jonathan Stevens,smithjeremy@gmail.com,2025-12-24,30387,,69,False
